epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4435,1.05443,6.56921,0.01096,0.00257,0.52273,0.19215,0.13463,0.77969,5.002,0.01164,0.000540231,0.000540231,0.000540231
2,33.902,1.14551,5.4459,0.01227,0.78916,0.36616,0.63556,0.40753,0.916,3.95908,0.01326,0.00108505,0.00108505,0.00108505
3,45.9907,1.10085,4.97219,0.01212,0.66218,0.49532,0.65636,0.44965,1.06582,2.93017,0.01481,0.00161886,0.00161886,0.00161886
4,58.3335,1.34369,4.60837,0.0149,0.59623,0.68466,0.68181,0.46647,1.05449,2.56425,0.01534,0.00161749,0.00161749,0.00161749
5,70.4818,1.18165,3.97114,0.01345,0.84912,0.54375,0.75039,0.51756,1.04304,2.38932,0.0146,0.00160099,0.00160099,0.00160099
6,82.8174,1.21053,3.45166,0.01258,0.69033,0.77557,0.8387,0.56564,1.04826,2.22877,0.01516,0.00158448,0.00158448,0.00158448
7,95.0399,1.14889,3.3104,0.01212,0.70456,0.78011,0.83134,0.58248,0.99106,1.93669,0.01289,0.00156798,0.00156798,0.00156798
8,107.451,1.19734,2.97602,0.01218,0.90727,0.77288,0.88632,0.61191,1.08953,1.7038,0.01586,0.00155148,0.00155148,0.00155148
9,119.906,1.09636,2.59442,0.01073,0.80925,0.79659,0.88551,0.65579,0.85236,1.41924,0.01084,0.00153497,0.00153497,0.00153497
10,132.619,1.11199,2.52763,0.01077,0.79753,0.76812,0.86771,0.64662,0.89885,1.23951,0.01167,0.00151847,0.00151847,0.00151847
11,145.476,1.08953,2.23975,0.01091,0.78366,0.7558,0.84796,0.63515,0.83166,1.1057,0.0118,0.00150197,0.00150197,0.00150197
12,158.129,1.13597,2.07948,0.0109,0.79426,0.84034,0.89529,0.66756,0.90067,0.81656,0.01289,0.00148546,0.00148546,0.00148546
13,170.029,1.06676,1.8124,0.01101,0.88479,0.74545,0.90223,0.67981,0.87103,0.80984,0.01184,0.00146896,0.00146896,0.00146896
14,182.446,1.13862,1.72753,0.01098,0.91235,0.79286,0.91921,0.71914,0.80626,0.66769,0.01151,0.00145246,0.00145246,0.00145246
15,194.65,1.08346,1.63639,0.01143,0.89496,0.7624,0.91838,0.68717,0.87519,0.5833,0.01217,0.00143595,0.00143595,0.00143595
16,206.732,1.08758,1.51435,0.01131,0.88008,0.91705,0.94742,0.7496,0.68824,0.45133,0.00861,0.00141945,0.00141945,0.00141945
17,218.932,1.06331,1.45906,0.01057,0.90881,0.88464,0.94709,0.71102,0.87783,0.58105,0.01174,0.00140295,0.00140295,0.00140295
18,231.041,1.07909,1.39834,0.01109,0.92929,0.88182,0.95812,0.74705,0.83243,0.43662,0.01094,0.00138644,0.00138644,0.00138644
