epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9856,1.01221,6.38506,0.00946,0.79603,0.18129,0.43237,0.33274,0.92313,4.51115,0.01234,0.000548355,0.000548355,0.000548355
2,60.3487,1.15681,5.27873,0.01137,0.68702,0.63832,0.70244,0.5324,0.94853,3.14871,0.01256,0.00109309,0.00109309,0.00109309
3,84.7637,1.21676,4.36656,0.01233,0.69074,0.67486,0.69102,0.46744,1.15482,2.84194,0.01619,0.00162683,0.00162683,0.00162683
4,108.977,1.25586,3.68427,0.01252,0.68415,0.63351,0.71885,0.50585,1.09349,2.29823,0.01685,0.00161749,0.00161749,0.00161749
5,133.239,1.21793,3.03729,0.01258,0.72496,0.74879,0.81879,0.56581,1.1221,1.67165,0.01514,0.00160099,0.00160099,0.00160099
6,157.578,1.19402,2.5077,0.01266,0.81465,0.67657,0.82294,0.58579,1.07544,1.1655,0.01453,0.00158448,0.00158448,0.00158448
7,182.416,1.20632,2.09398,0.01188,0.79034,0.75298,0.83764,0.59659,1.03898,1.01845,0.01328,0.00156798,0.00156798,0.00156798
8,206.687,1.18234,1.80888,0.01173,0.75113,0.82372,0.87547,0.63289,1.08484,0.83908,0.01401,0.00155148,0.00155148,0.00155148
9,230.486,1.16662,1.58126,0.01226,0.87784,0.81267,0.91007,0.677,0.94466,0.74691,0.01239,0.00153497,0.00153497,0.00153497
10,254.891,1.18911,1.43373,0.01166,0.88525,0.81989,0.90502,0.65609,0.98148,0.73059,0.0131,0.00151847,0.00151847,0.00151847
11,279,1.17386,1.34088,0.01165,0.82608,0.84904,0.90512,0.69715,0.93259,0.74761,0.01235,0.00150197,0.00150197,0.00150197
12,303.293,1.12022,1.21977,0.01088,0.86615,0.84355,0.92088,0.68197,0.94507,0.70024,0.0131,0.00148546,0.00148546,0.00148546
13,327.603,1.14555,1.18558,0.01186,0.82013,0.8334,0.89826,0.69339,0.9248,0.72767,0.01174,0.00146896,0.00146896,0.00146896
14,352.04,1.07384,1.12169,0.01067,0.85619,0.84966,0.92957,0.71332,0.93374,0.66463,0.01188,0.00145246,0.00145246,0.00145246
15,376.591,1.09775,1.04651,0.01059,0.85465,0.83229,0.92275,0.70336,0.91675,0.65891,0.01267,0.00143595,0.00143595,0.00143595
16,401.199,1.09856,1.02294,0.01056,0.87876,0.82957,0.93274,0.69476,0.98054,0.62315,0.01351,0.00141945,0.00141945,0.00141945
17,425.583,1.06884,0.96166,0.01015,0.89355,0.86421,0.93679,0.73309,0.89294,0.57864,0.01093,0.00140295,0.00140295,0.00140295
18,449.71,1.06773,0.9038,0.01061,0.8204,0.8858,0.9267,0.69357,0.95289,0.63256,0.01232,0.00138644,0.00138644,0.00138644
19,473.671,1.07149,0.919,0.01034,0.86012,0.88937,0.93148,0.72087,0.88868,0.59509,0.0118,0.00136994,0.00136994,0.00136994
20,497.815,1.04627,0.8715,0.01005,0.87007,0.83847,0.93032,0.71871,0.90055,0.56222,0.01196,0.00135344,0.00135344,0.00135344
21,521.782,1.07037,0.87537,0.01063,0.80557,0.92643,0.92953,0.71214,0.8981,0.60672,0.01114,0.00133693,0.00133693,0.00133693
22,545.542,1.03172,0.82402,0.00972,0.90432,0.84652,0.91993,0.73107,0.81949,0.60798,0.00992,0.00132043,0.00132043,0.00132043
23,569.055,1.04602,0.83055,0.0099,0.89125,0.85368,0.92748,0.72675,0.84551,0.59884,0.01012,0.00130393,0.00130393,0.00130393
24,592.582,1.01461,0.7727,0.00919,0.89927,0.8376,0.92796,0.72596,0.87946,0.59699,0.01037,0.00128742,0.00128742,0.00128742
25,616.069,1.04016,0.79388,0.0098,0.86833,0.9019,0.94826,0.76519,0.80569,0.53539,0.00959,0.00127092,0.00127092,0.00127092
26,639.739,1.00373,0.75758,0.01004,0.89901,0.87806,0.95103,0.76036,0.8222,0.50277,0.01065,0.00125442,0.00125442,0.00125442
27,663.53,1.04663,0.76644,0.01025,0.9213,0.85957,0.94707,0.75357,0.83948,0.561,0.0103,0.00123791,0.00123791,0.00123791
28,687.333,0.9969,0.75444,0.00936,0.91676,0.87848,0.95258,0.76233,0.80918,0.49553,0.00994,0.00122141,0.00122141,0.00122141
29,711.06,0.97072,0.7198,0.00931,0.92123,0.91528,0.96408,0.7843,0.78135,0.45149,0.00998,0.00120491,0.00120491,0.00120491
30,734.832,0.98157,0.70528,0.00893,0.92095,0.91099,0.95766,0.76987,0.85091,0.49491,0.01101,0.0011884,0.0011884,0.0011884
31,758.626,0.96879,0.70831,0.00898,0.88076,0.89663,0.95474,0.79564,0.74101,0.45869,0.00952,0.0011719,0.0011719,0.0011719
32,782.547,1.00227,0.70655,0.00964,0.88622,0.88866,0.95002,0.77479,0.82367,0.45675,0.01019,0.0011554,0.0011554,0.0011554
33,806.603,0.94069,0.72997,0.00909,0.88872,0.887,0.94853,0.78175,0.75808,0.53497,0.00939,0.00113889,0.00113889,0.00113889
34,830.332,0.94485,0.69306,0.00885,0.89627,0.94252,0.96624,0.78836,0.7844,0.42014,0.00986,0.00112239,0.00112239,0.00112239
35,853.969,0.91854,0.68507,0.00886,0.88567,0.92104,0.94864,0.76961,0.80412,0.4872,0.01025,0.00110589,0.00110589,0.00110589
36,877.917,0.92835,0.65185,0.00888,0.92753,0.90589,0.9623,0.78411,0.82716,0.42531,0.01078,0.00108938,0.00108938,0.00108938
37,901.664,0.92547,0.64148,0.00803,0.90652,0.90571,0.95989,0.78289,0.78782,0.43516,0.00975,0.00107288,0.00107288,0.00107288
38,925.375,0.92721,0.62567,0.00866,0.90825,0.92153,0.9589,0.79257,0.75235,0.4364,0.00942,0.00105638,0.00105638,0.00105638
